,MPP (W),VMP (V),IMP (A)
46,30.47761114870916,4.039999999999958 V,7.543963155621157 A
47,39.12548391652802,4.239999999999954 V,9.22770847087935 A
48,107.71229168248688,4.119999999999957 V,26.14376011710874 A
49,43.08504468586382,4.089999999999957 V,10.534240754490042 A
50,42.04541773032804,4.039999999999958 V,10.40728161641794 A
51,13.432419347735202,4.039999999999958 V,3.324856274191916 A
52,132.93048002980265,4.259999999999954 V,31.20433803516528 A
53,38.604213936149115,4.129999999999956 V,9.347267296888504 A
54,61.643911595735354,4.129999999999956 V,14.925886584923973 A
55,40.253688707690735,4.059999999999958 V,9.914701652140678 A
56,42.2937661334608,4.2199999999999545 V,10.022219462905511 A
57,63.88162196500221,4.229999999999954 V,15.102038289598795 A
58,62.7597218191302,4.239999999999954 V,14.801821183757284 A
59,39.69457890568233,3.989999999999959 V,9.948516016461838 A
60,15.885858876589857,4.3099999999999525 V,3.6858141244988474 A
61,36.699633437485,4.1699999999999555 V,8.800871327934146 A
62,65.72028695313816,4.149999999999956 V,15.836213723647916 A
63,85.23424052522067,4.2199999999999545 V,20.19768732825156 A
64,94.49008884241734,4.229999999999954 V,22.338082468656822 A
65,36.83014615342063,4.139999999999956 V,8.896170568459183 A
66,70.18054772093554,4.259999999999954 V,16.47430697674561 A
67,97.77534467761414,4.259999999999954 V,22.951958844510614 A
68,128.94943657487065,4.299999999999953 V,29.988241063923738 A
69,69.4805003004299,4.259999999999954 V,16.309976596345223 A
70,73.51319338164278,4.2199999999999545 V,17.420188005128807 A
71,11.374164969797258,4.129999999999956 V,2.7540351016458544 A
72,78.70884323012562,4.209999999999955 V,18.695687228058546 A
73,148.63875362908578,4.279999999999953 V,34.728680754459674 A
74,30.890065890577628,4.299999999999953 V,7.183736253622783 A
75,70.18909868577803,4.1699999999999555 V,16.831918150066855 A
76,42.004759006770485,4.3099999999999525 V,9.745883760271681 A
77,66.68862594500025,4.079999999999957 V,16.345251457108077 A
78,28.157942838478064,4.139999999999956 V,6.801435468231489 A
79,44.90883942965394,4.089999999999957 V,10.980156339768804 A
80,41.36724778120619,4.229999999999954 V,9.779491201230883 A
81,48.81113259824399,4.199999999999955 V,11.621698237677265 A
82,94.86398367513371,4.1699999999999555 V,22.74915675662703 A
83,58.41502635928449,4.189999999999955 V,13.941533737299551 A
84,72.29444251917496,4.189999999999955 V,17.254043560662467 A
85,15.735491283912246,4.199999999999955 V,3.7465455437886703 A
86,80.29590913403399,4.129999999999956 V,19.44210874916098 A
87,169.21774369876715,4.229999999999954 V,40.004194727841366 A
88,80.13789460362237,4.249999999999954 V,18.855975200852527 A
89,40.57980714909489,4.189999999999955 V,9.68491817400843 A
90,37.95641072407244,4.2199999999999545 V,8.99441012418788 A
91,43.33487797213807,4.119999999999957 V,10.518174265082166 A
92,90.4347682548282,4.179999999999955 V,21.635112022686403 A
93,72.97471492888262,4.119999999999957 V,17.712309448758106 A
94,116.73465957410865,4.159999999999956 V,28.061216243776414 A
95,51.76332581023053,4.179999999999955 V,12.383570767997867 A
96,36.006336201920924,4.059999999999958 V,8.86855571475894 A
97,56.20631672882333,4.179999999999955 V,13.446487255699505 A
98,132.4967104476098,4.179999999999955 V,31.69777761904574 A
99,46.56243357962148,4.179999999999955 V,11.139338176943056 A
