,MPP (W),VMP (V),IMP (A)
48,0.02348995846710814,21.68000000000059 V,0.0010834851691470249 A
49,0.00845368073860036,13.049999999999766 V,0.0006477916274789663 A
50,0.03073271012192426,17.549999999999944 V,0.0017511515738988237 A
51,0.004059876731656612,15.65999999999971 V,0.00025925138771754064 A
52,4.303350835739744,36.28000000000135 V,0.11861496239635017 A
53,0.04726665091890157,21.7400000000006 V,0.002174178975110408 A
54,0.046450548761957956,21.55000000000057 V,0.002155477900786855 A
55,0.009431710630911331,16.839999999999833 V,0.0005600778284389207 A
56,0.047951694033292185,21.900000000000624 V,0.0021895750700132795 A
57,0.047895411404987494,21.890000000000622 V,0.0021880041756503488 A
58,0.04845551926190778,22.01000000000064 V,0.0022015229105818435 A
59,0.009340687768826583,16.74999999999982 V,0.0005576530011239811 A
60,0.023379395552408994,21.62000000000058 V,0.0010813781476599615 A
61,0.03136569517592074,17.729999999999972 V,0.001769074742014709 A
62,4.361157663189086,35.34000000000154 V,0.12340570637206838 A
63,0.0486409666983505,22.06000000000065 V,0.00220493956021528 A
64,0.04843018729221255,22.01000000000064 V,0.0022003719805638866 A
65,0.01809950095923763,13.499999999999757 V,0.0013407037747583672 A
66,0.02339607068713753,21.63000000000058 V,0.0010816491302421127 A
67,0.04919813481932727,22.180000000000668 V,0.0022181305148478714 A
68,0.05024103773394175,22.410000000000704 V,0.0022419026208808646 A
69,0.048901171923736546,22.110000000000657 V,0.002211721932326327 A
70,0.015039643844116112,21.24000000000052 V,0.0007080811602691028 A
71,0.04580461065043782,21.410000000000547 V,0.0021394026459802262 A
72,0.0481192303578538,21.94000000000063 V,0.0021932192505857984 A
73,0.049983505376678034,22.360000000000696 V,0.0022353982726599497 A
74,0.04827442192374411,21.970000000000635 V,0.0021972882077261136 A
75,24.596325658489057,26.960000000001415 V,0.9123266193801101 A
76,25.644684193265945,26.92000000000141 V,0.952625712974168 A
77,0.003920862455922844,18.790000000000138 V,0.00020866750696768577 A
78,0.030693592472032277,17.539999999999942 V,0.001749919753251561 A
79,5.402883021450657,9.60999999999984 V,0.562214674448569 A
80,0.048234670558087174,21.960000000000633 V,0.0021964786228636513 A
81,0.030858996803426547,17.58999999999995 V,0.0017543488802402862 A
82,0.018505728998706793,13.649999999999753 V,0.0013557310621763463 A
83,0.047863414604166446,21.88000000000062 V,0.002187541800921622 A
84,0.00961319004500175,16.999999999999858 V,0.0005654817673530488 A
85,0.030181262783844292,17.39999999999992 V,0.0017345553324048524 A
86,0.01507165531388631,17.489999999999934 V,0.0008617298635726911 A
87,2.912270228999652,36.64000000000128 V,0.07948335777837201 A
88,0.023650645217998742,21.7500000000006 V,0.001087385987034395 A
89,0.006965216405600285,16.769999999999822 V,0.00041533788942160754 A
90,0.022727461403192706,21.320000000000533 V,0.0010660160132829333 A
91,1.8947096348059864,35.69000000000147 V,0.053087969593889284 A
92,0.03145693909954157,17.749999999999975 V,0.001772221921100936 A
93,0.04661748439531815,21.590000000000575 V,0.002159216507425517 A
94,0.010981549159187375,20.960000000000477 V,0.0005239288720986224 A
95,0.03140132291064215,17.739999999999974 V,0.001770085846146685 A
96,0.009310362194619198,16.729999999999816 V,0.0005565070050579379 A
97,22.50680226420197,26.650000000001366 V,0.8445329179812688 A
98,32.69292492610556,35.57000000000149 V,0.9191151230279502 A
99,0.009524920970748014,16.93999999999985 V,0.0005622739652153541 A
